asset,exchange,timestamp,open,high,low,close,volume
TCS,NSE,2026-07-01 03:45:00+00:00,2039.9,2052.0,2032.0,2048.9,349154
TCS,NSE,2026-07-01 04:00:00+00:00,2048.6,2049.5,2038.5,2042.1,118496
TCS,NSE,2026-07-01 04:15:00+00:00,2042.1,2049.7,2041.5,2042.3,98164
TCS,NSE,2026-07-01 04:30:00+00:00,2042.3,2044.8,2040.8,2043.9,57318
TCS,NSE,2026-07-01 04:45:00+00:00,2043.4,2045.0,2033.1,2036.0,169079
TCS,NSE,2026-07-01 05:00:00+00:00,2035.8,2038.1,2035.0,2035.0,62579
TCS,NSE,2026-07-01 05:15:00+00:00,2035.1,2038.4,2034.1,2037.7,60434
TCS,NSE,2026-07-01 05:30:00+00:00,2037.7,2039.5,2035.6,2037.2,42289
TCS,NSE,2026-07-01 05:45:00+00:00,2037.2,2038.0,2034.0,2035.5,53768
TCS,NSE,2026-07-01 06:00:00+00:00,2035.8,2037.5,2033.0,2036.0,44032
TCS,NSE,2026-07-01 06:15:00+00:00,2036.5,2037.9,2032.5,2035.8,54854
TCS,NSE,2026-07-01 06:30:00+00:00,2035.7,2035.9,2027.0,2028.2,103616
TCS,NSE,2026-07-01 06:45:00+00:00,2028.2,2028.2,2021.0,2021.4,140165
TCS,NSE,2026-07-01 07:00:00+00:00,2021.4,2024.7,2019.6,2020.0,106370
TCS,NSE,2026-07-01 07:15:00+00:00,2020.0,2020.3,2013.2,2013.2,108810
TCS,NSE,2026-07-01 07:30:00+00:00,2013.9,2017.4,2012.8,2015.4,97212
TCS,NSE,2026-07-01 07:45:00+00:00,2015.3,2016.3,2008.2,2008.3,126420
TCS,NSE,2026-07-01 08:00:00+00:00,2008.8,2010.0,2001.1,2003.6,218859
TCS,NSE,2026-07-01 08:15:00+00:00,2003.6,2003.8,1999.0,1999.9,316890
TCS,NSE,2026-07-01 08:30:00+00:00,1999.9,2001.7,1993.2,1995.0,250672
TCS,NSE,2026-07-01 08:45:00+00:00,1995.1,1996.5,1989.4,1989.4,311775
TCS,NSE,2026-07-01 09:00:00+00:00,1989.5,1993.5,1983.7,1990.0,460352
TCS,NSE,2026-07-01 09:15:00+00:00,1989.5,1990.6,1985.0,1988.0,370574
TCS,NSE,2026-07-01 09:30:00+00:00,1988.0,1990.2,1983.0,1984.0,369352
TCS,NSE,2026-07-01 09:45:00+00:00,1984.2,1985.1,1976.8,1981.8,564766
TCS,NSE,2026-07-02 03:45:00+00:00,2008.0,2047.7,2002.5,2037.0,1395545
TCS,NSE,2026-07-02 04:00:00+00:00,2037.0,2047.6,2033.7,2044.4,399676
TCS,NSE,2026-07-02 04:15:00+00:00,2044.4,2048.1,2038.1,2045.4,262564
TCS,NSE,2026-07-02 04:30:00+00:00,2045.2,2045.6,2039.6,2041.9,143942
TCS,NSE,2026-07-02 04:45:00+00:00,2041.9,2049.0,2041.0,2047.2,217811
TCS,NSE,2026-07-02 05:00:00+00:00,2047.0,2048.0,2042.4,2045.1,121962
TCS,NSE,2026-07-02 05:15:00+00:00,2045.2,2052.0,2044.0,2049.3,198256
TCS,NSE,2026-07-02 05:30:00+00:00,2049.5,2050.2,2043.9,2048.4,115574
TCS,NSE,2026-07-02 05:45:00+00:00,2048.2,2055.0,2047.0,2050.8,185106
TCS,NSE,2026-07-02 06:00:00+00:00,2050.9,2051.6,2048.0,2049.6,87274
TCS,NSE,2026-07-02 06:15:00+00:00,2049.6,2055.0,2049.1,2054.3,142469
TCS,NSE,2026-07-02 06:30:00+00:00,2054.4,2062.5,2053.0,2058.0,265310
TCS,NSE,2026-07-02 06:45:00+00:00,2058.0,2059.8,2055.1,2059.1,131576
TCS,NSE,2026-07-02 07:00:00+00:00,2059.0,2060.8,2057.0,2058.0,95639
TCS,NSE,2026-07-02 07:15:00+00:00,2058.0,2064.0,2057.0,2059.8,162608
TCS,NSE,2026-07-02 07:30:00+00:00,2060.0,2063.8,2059.4,2062.8,88988
TCS,NSE,2026-07-02 07:45:00+00:00,2062.0,2063.0,2056.8,2060.5,123491
TCS,NSE,2026-07-02 08:00:00+00:00,2060.5,2063.5,2060.0,2062.4,101837
TCS,NSE,2026-07-02 08:15:00+00:00,2062.2,2071.0,2062.2,2065.2,390033
TCS,NSE,2026-07-02 08:30:00+00:00,2065.9,2067.8,2061.4,2065.2,164953
TCS,NSE,2026-07-02 08:45:00+00:00,2065.2,2066.0,2061.3,2064.8,130563
TCS,NSE,2026-07-02 09:00:00+00:00,2064.7,2075.0,2061.8,2073.5,253617
TCS,NSE,2026-07-02 09:15:00+00:00,2073.4,2076.9,2068.0,2069.7,213285
TCS,NSE,2026-07-02 09:30:00+00:00,2069.7,2069.7,2064.2,2068.2,298308
TCS,NSE,2026-07-02 09:45:00+00:00,2068.1,2073.0,2067.2,2070.9,348853
TCS,NSE,2026-07-03 03:45:00+00:00,2100.0,2116.6,2092.1,2105.1,738116
TCS,NSE,2026-07-03 04:00:00+00:00,2105.3,2106.6,2085.7,2085.8,418760
TCS,NSE,2026-07-03 04:15:00+00:00,2086.7,2096.4,2085.0,2092.7,228439
TCS,NSE,2026-07-03 04:30:00+00:00,2092.9,2099.5,2088.6,2093.5,146034
TCS,NSE,2026-07-03 04:45:00+00:00,2093.3,2093.8,2086.8,2089.8,93808
TCS,NSE,2026-07-03 05:00:00+00:00,2089.8,2096.4,2088.2,2093.1,58799
TCS,NSE,2026-07-03 05:15:00+00:00,2093.5,2103.2,2092.0,2100.5,150035
TCS,NSE,2026-07-03 05:30:00+00:00,2101.0,2110.7,2097.6,2105.6,163286
TCS,NSE,2026-07-03 05:45:00+00:00,2105.6,2107.0,2103.0,2106.0,64544
TCS,NSE,2026-07-03 06:00:00+00:00,2106.5,2109.5,2103.0,2107.9,76523
TCS,NSE,2026-07-03 06:15:00+00:00,2107.9,2109.9,2101.8,2102.8,86814
TCS,NSE,2026-07-03 06:30:00+00:00,2103.0,2107.8,2100.9,2107.2,104191
TCS,NSE,2026-07-03 06:45:00+00:00,2107.2,2115.0,2106.5,2110.7,132729
TCS,NSE,2026-07-03 07:00:00+00:00,2111.0,2111.0,2104.2,2106.9,75154
TCS,NSE,2026-07-03 07:15:00+00:00,2106.9,2108.0,2103.0,2106.5,115431
TCS,NSE,2026-07-03 07:30:00+00:00,2107.4,2107.6,2097.5,2100.8,161111
TCS,NSE,2026-07-03 07:45:00+00:00,2101.5,2104.9,2096.4,2099.4,108072
TCS,NSE,2026-07-03 08:00:00+00:00,2099.6,2101.2,2095.9,2099.9,89842
TCS,NSE,2026-07-03 08:15:00+00:00,2099.9,2100.1,2093.3,2095.5,99262
TCS,NSE,2026-07-03 08:30:00+00:00,2095.3,2096.5,2093.4,2095.2,79418
TCS,NSE,2026-07-03 08:45:00+00:00,2095.5,2097.5,2091.4,2091.6,128843
TCS,NSE,2026-07-03 09:00:00+00:00,2092.4,2094.8,2087.4,2088.4,123494
TCS,NSE,2026-07-03 09:15:00+00:00,2088.4,2094.6,2087.4,2093.0,85780
TCS,NSE,2026-07-03 09:30:00+00:00,2093.7,2100.7,2092.2,2093.5,190158
TCS,NSE,2026-07-03 09:45:00+00:00,2093.6,2095.2,2085.5,2088.0,308671
TCS,NSE,2026-07-06 03:45:00+00:00,2090.0,2093.0,2070.2,2080.7,232674
TCS,NSE,2026-07-06 04:00:00+00:00,2080.7,2082.2,2073.6,2078.9,74523
TCS,NSE,2026-07-06 04:15:00+00:00,2078.1,2080.0,2061.2,2064.0,135599
TCS,NSE,2026-07-06 04:30:00+00:00,2064.2,2064.5,2056.0,2057.1,141415
TCS,NSE,2026-07-06 04:45:00+00:00,2056.6,2068.4,2056.1,2066.8,121447
TCS,NSE,2026-07-06 05:00:00+00:00,2066.5,2068.2,2060.1,2062.4,85060
TCS,NSE,2026-07-06 05:15:00+00:00,2062.6,2069.7,2062.0,2066.7,87378
TCS,NSE,2026-07-06 05:30:00+00:00,2066.7,2067.0,2057.0,2062.9,79410
TCS,NSE,2026-07-06 05:45:00+00:00,2062.0,2064.8,2058.2,2062.1,45543
TCS,NSE,2026-07-06 06:00:00+00:00,2062.1,2065.0,2060.0,2062.3,38752
TCS,NSE,2026-07-06 06:15:00+00:00,2062.4,2065.6,2060.3,2062.2,46004
TCS,NSE,2026-07-06 06:30:00+00:00,2062.2,2065.0,2053.8,2057.0,96054
TCS,NSE,2026-07-06 06:45:00+00:00,2057.0,2061.1,2057.0,2059.0,48109
TCS,NSE,2026-07-06 07:00:00+00:00,2059.0,2062.9,2058.5,2061.5,33371
TCS,NSE,2026-07-06 07:15:00+00:00,2061.5,2063.0,2059.2,2060.5,32860
TCS,NSE,2026-07-06 07:30:00+00:00,2060.4,2064.3,2059.5,2061.6,39181
TCS,NSE,2026-07-06 07:45:00+00:00,2061.6,2064.2,2058.1,2060.8,41718
TCS,NSE,2026-07-06 08:00:00+00:00,2060.8,2062.9,2058.8,2059.2,38449
TCS,NSE,2026-07-06 08:15:00+00:00,2059.2,2060.9,2053.3,2054.1,111501
TCS,NSE,2026-07-06 08:30:00+00:00,2054.1,2055.9,2051.3,2054.2,96380
