asset,exchange,timestamp,open,high,low,close,volume
TCS,NSE,2026-08-10 09:15:00,3500,3510,3495,3505,100000
TCS,NSE,2026-08-10 10:15:00,3505,3525,3500,3520,120000
TCS,NSE,2026-08-10 11:15:00,3520,3535,3515,3530,130000
TCS,NSE,2026-08-10 12:15:00,3530,3540,3520,3525,110000
TCS,NSE,2026-08-10 13:15:00,3525,3550,3520,3545,140000
TCS,NSE,2026-08-10 14:15:00,3545,3560,3540,3555,150000
TCS,NSE,2026-08-10 15:15:00,3555,3570,3550,3565,160000
RELIANCE,NSE,2026-08-10 09:15:00,1400,1410,1395,1405,90000
RELIANCE,NSE,2026-08-10 10:15:00,1405,1415,1400,1410,95000
RELIANCE,NSE,2026-08-10 11:15:00,1410,1420,1405,1408,100000
RELIANCE,NSE,2026-08-10 12:15:00,1408,1418,1400,1415,105000
RELIANCE,NSE,2026-08-10 13:15:00,1415,1425,1410,1422,110000
RELIANCE,NSE,2026-08-10 14:15:00,1422,1430,1418,1428,115000
RELIANCE,NSE,2026-08-10 15:15:00,1428,1435,1420,1432,120000
