asset,exchange,published_at,source,headline,text,url
RELIANCE,NSE,2026-07-07 04:02:17+00:00,marketaux:economictimes.indiatimes.com,RIL expands CBM production contract worth Rs 163 crore with SWPE,"Reliance Industries Limited has extended its Coal Bed Methane production contract with South West Pinnacle Exploration. This awarded work is expected to generate revenue from the second quarter of FY 2026-27. South West Pinnacle Exploration also received a separate contract from CMPDI for exploration services. This pact valued at Rs 5.89 crore will strengthen SWPE's order book. The exploration work is scheduled for completion within 180 days.

Synopsis

Reliance Industries Limited has extended its Coal Bed Methane production contract with South West Pinnacle Exploration. This awarded work is expected ...",https://economictimes.indiatimes.com/industry/energy/oil-gas/reliance-industries-limited-ril-expands-cbm-production-contract-with-swpe-worth-rs-163-crore-mukesh-ambani/articleshow/132229699.cms
RELIANCE,NSE,2026-07-07 15:53:41+00:00,marketaux:economictimes.indiatimes.com,Ahead of Market: 10 things that will decide stock market action on Wednesday,"Indian equities ended lower after four straight gains as profit booking, weak global cues and caution ahead of the US Fed minutes weighed on sentiment. IT stocks remained resilient, while analysts expect earnings, monsoon progress, stable rupee and foreign inflows to guide near-term market direction.

Live Events



as a Reliable and Trusted News Source Addas a Reliable and Trusted News Source Add Now!

(You can now subscribe to our

(You can now subscribe to...",https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-wednesday/articleshow/132242806.cms
RELIANCE,NSE,2026-07-10 01:30:00+00:00,gdelt:manilatimes.net,NEXT Properties Announces the Termination of Its Tender Offer for,,https://www.manilatimes.net/2026/07/10/tmt-newswire/globenewswire/next-properties-announces-the-termination-of-its-tender-offer-for/2382096
RELIANCE,NSE,2026-07-10 01:30:00+00:00,gdelt:mondaq.com,Proposed EB - 5 Changes : What Investors And Regional Centers Should Know Now,,https://www.mondaq.com/unitedstates/investment-immigration/1814910/proposed-eb-5-changes-what-investors-and-regional-centers-should-know-now
RELIANCE,NSE,2026-07-10 02:45:00+00:00,gdelt:fool.com,D - Wave Quantum vs . Rigetti Computing : Which Quantum Computing Stock Is a Better Buy in 2026 ?,,https://www.fool.com/coverage/better-buy/2026/07/09/d-wave-quantum-vs-rigetti-computing-which-quantum-computing-stock-is-a-better-buy-in-2026/?source=iedfolrf0000001
RELIANCE,NSE,2026-07-10 02:45:00+00:00,gdelt:usa.chinadaily.com.cn,Scientists vow quicker path to applications,,http://usa.chinadaily.com.cn/a/202607/10/WS6a502d1aa310986e2b4647c8.html
RELIANCE,NSE,2026-07-10 03:00:00+00:00,gdelt:japan.cnet.com,"アルミニウム市場は輸送 、 建設 、 持続可能な製造分野での需要拡大を背景に2030年までに2 , 570億ドルを突破へ",,https://japan.cnet.com/release/31187114/
RELIANCE,NSE,2026-07-10 03:15:00+00:00,gdelt:forbes.com,Meet The Small Indian Firm Building A Missile - Tracking System For Space,,https://www.forbes.com/sites/meghamandavia/2026/07/09/meet-the-small-indian-firm-building-a-missile-tracking-system-for-space/
RELIANCE,NSE,2026-07-10 03:45:00+00:00,gdelt:siliconindia.com,"India , Australia , Canada Form Tech Triangle To Boost AI , Minerals",,https://www.siliconindia.com/news/general/india-australia-canada-form-tech-triangle-to-boost-ai-minerals-nid-241446-cid-1.html
RELIANCE,NSE,2026-07-10 04:00:00+00:00,gdelt:ghanamma.com,"Ghana as a Strategic and Dynamic Partner for Russia in West Africa : A Deep Dive into Economic , Diplomatic , and Technological Collaboration – Ghanamma . com",,https://www.ghanamma.com/2026/07/10/ghana-as-a-strategic-and-dynamic-partner-for-russia-in-west-africa-a-deep-dive-into-economic-diplomatic-and-technological-collaboration/
RELIANCE,NSE,2026-07-10 04:00:00+00:00,gdelt:etoday.co.kr,"KB운용 ,  RISE 차이나AI반도체TOP4Plus ETF  주목 … 중국 AI 반도체 투자 기회",,https://www.etoday.co.kr/news/view/2602452
RELIANCE,NSE,2026-07-10 04:45:00+00:00,gdelt:greenleft.org.au,New research finds Labor Safeguard Mechanism is failing,,https://www.greenleft.org.au/2026/1457/analysis/new-research-finds-labors-safeguard-mechanism-failing
RELIANCE,NSE,2026-07-10 05:15:00+00:00,gdelt:businessday.co.za,AYABONGA CAWE | Regional value chains will determine Sacu future,,https://www.businessday.co.za/opinion/2026-07-10-ayabonga-cawe-regional-value-chains-will-determine-sacus-future/
RELIANCE,NSE,2026-07-10 06:00:00+00:00,gdelt:forbes.com,Get A Grandstand View Of Indian Two - Wheeler Titan TVS Motor Global Race,,https://www.forbes.com/sites/naazneenkarmali/2026/07/09/get-a-grandstand-view-of-indian-two-wheeler-titan-tvs-motors-global-race/
RELIANCE,NSE,2026-07-10 06:15:00+00:00,gdelt:miragenews.com,Exercise Set to Boost Regional Economies,,https://www.miragenews.com/exercise-set-to-boost-regional-economies-1708124/
RELIANCE,NSE,2026-07-10 06:30:00+00:00,gdelt:unitaid.eu,The Future Of Display Technology : Understanding Digital Ink Innovations,,https://www.unitaid.eu/digital-ink-technology-k16q.html
RELIANCE,NSE,2026-07-10 06:30:00+00:00,gdelt:investegate.co.uk,Transaction in Own Shares | Company Announcement,,https://www.investegate.co.uk/announcement/rns/oakley-capital-investments-ltd-di---oci/transaction-in-own-shares/9661963
RELIANCE,NSE,2026-07-10 07:00:00+00:00,gdelt:navbharattimes.indiatimes.com,"Petrol Diesel Export : 90 % कच्चा तेल आयात करने वाला भारत पेट्रोल - डीजल का एक्सपोर्ट बढ़ाने की तैयारी में , क्या है प्लान ?",,https://navbharattimes.indiatimes.com/business/commodity/petroleum-products-export-may-rise-25-percent-from-india-as-iocls-is-boosting-capacity/articleshow/132304393.cms
RELIANCE,NSE,2026-07-10 07:15:00+00:00,gdelt:philstar.com,The rise of human - centered AI : This chatbot learned to speak Filipino,,https://www.philstar.com/business/technology/2026/07/10/2536329/rise-human-centered-ai-chatbot-learned-speak-filipino
RELIANCE,NSE,2026-07-10 07:30:00+00:00,gdelt:lokmat.com,IT शेअर्सच्या जोरावर शेअर बाजारात मोठी तेजी ; अवघ्या काही मिनिटांत गुंतवणूकदारांची ₹४ . ५९ लाख कोटींची कमाई ...,,https://www.lokmat.com/business/stock-market/share-market-10-july-2026-big-rise-in-the-stock-market-on-the-back-of-it-shares-investors-earn-rs459-lakh-crore-in-just-a-few-minutes-a-a732/
RELIANCE,NSE,2026-07-10 07:30:00+00:00,gdelt:economictimes.indiatimes.com,Critical mineral push calls for board - level focus on communication : Experts,,https://economictimes.indiatimes.com/news/economy/policy/indias-mining-revolution-corporate-boards-must-prioritize-stakeholder-communication-for-success/articleshow/132305498.cms
RELIANCE,NSE,2026-07-10 07:30:00+00:00,gdelt:moneycontrol.com,"Sensex Today | Stock Market Live : Sensex up 700 pts , Nifty above 24 , 150 ; Dixon , Cupid , TCS , Kalyan Jeweller most active",,https://www.moneycontrol.com/news/business/markets/stock-market-live-updates-nifty50-share-price-sensex-share-price-crude-fii-gift-nifty-rupee-latest-updates-10-07-2026-liveblog-13970424.html
RELIANCE,NSE,2026-07-10 08:15:00+00:00,gdelt:businesstimes.com.sg,A tale of two Chinas,,https://www.businesstimes.com.sg/wealth/wealth-investing/tale-two-chinas
RELIANCE,NSE,2026-07-10 09:15:00+00:00,gdelt:en.people.cn,Scientists vow quicker path to applications - People Daily Online,,http://en.people.cn/n3/2026/0710/c90000-20476605.html
RELIANCE,NSE,2026-07-10 10:45:00+00:00,gdelt:sbctv.gr,"Κίνα μπλοκάρει προσωρινά τις εξαγωγές ηλίου , ανησυχία για εφοδιασμό",,https://www.sbctv.gr/2026/07/%CE%B1%CF%80%CE%B1%CE%B3%CE%BF%CF%81%CE%B5%CF%85%CF%83%CE%B7-%CE%B5%CE%BE%CE%B1%CE%B3%CF%89%CE%B3%CF%89%CE%BD-%CE%B7%CE%BB%CE%B9%CE%BF%CF%85/
RELIANCE,NSE,2026-07-10 10:45:00+00:00,gdelt:civilserviceworld.com,DWP teams win award for work to improve poverty and incomes stats,,https://www.civilserviceworld.com/professions/article/dwp-teams-take-home-award-for-work-to-improve-poverty-and-incomes-stats
